SensorDate,Settlement,Main_Dmg,geometry
2023-09-10,Ait Othmane,Possible damage,POINT (-8.328158175999931 31.163024680000035)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.328965155999924 31.161772787000075)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.327654963999919 31.162604314000077)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.323424834999912 31.172643323000045)
2023-09-10,Ait Othmane,Damage,POINT (-8.323230323999951 31.18575265600009)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.370025849999934 31.188007149000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.405992601999912 31.176476153000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.397403849999932 31.183228709000048)
2023-09-10,Ait Othmane,Damage,POINT (-8.397109084999954 31.183431529000075)
2023-09-10,Ait Othmane,Damage,POINT (-8.396979279999925 31.183393669000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.39713071899996 31.183588376000046)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.396868404999907 31.183536995000054)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.397552584999914 31.183647870000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.397520132999944 31.18356674200004)
2023-09-10,Ait Othmane,Damage,POINT (-8.39747686499993 31.183474797000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.397173986999917 31.183361218000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.397090154999944 31.18328549800009)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.397409257999925 31.183850690000043)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.39793064099996 31.18371850500006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.397819873999936 31.18359389300008)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.397821604999933 31.181608744000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.379499067999916 31.099597617000086)
2023-09-10,Ait Othmane,Damage,POINT (-8.380549166999913 31.10128841100004)
2023-09-10,Ait Othmane,Damage,POINT (-8.380556296999941 31.101395367000066)
2023-09-10,Ait Othmane,Damage,POINT (-8.380394674999934 31.10124562900006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.381183771999929 31.101480932000072)
2023-09-10,Ait Othmane,Damage,POINT (-8.378364889999943 31.101820814000064)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.378279325999927 31.101854089000085)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.380872410999928 31.10666948000005)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.378588308999952 31.106350989000077)
2023-09-10,Ait Othmane,Damage,POINT (-8.37897334999991 31.10548108200004)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.378490860999932 31.10576629700006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.378880654999932 31.10573064500005)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.376648842999941 31.10575203600007)
2023-09-10,Ait Othmane,Damage,POINT (-8.371365221999952 31.10689052200007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.370079374999932 31.10618936700007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369911762999948 31.107274803000053)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.370374097999957 31.106966580000062)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.36972523199995 31.108383151000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.369544595999912 31.108069414000056)
2023-09-10,Ait Othmane,Damage,POINT (-8.36942100199991 31.108088428000087)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369746622999912 31.10817161600005)
2023-09-10,Ait Othmane,Damage,POINT (-8.368881468999916 31.108352253000078)
2023-09-10,Ait Othmane,Damage,POINT (-8.369527957999935 31.10792680600008)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369623029999957 31.10794819700004)
2023-09-10,Ait Othmane,Damage,POINT (-8.369687202999955 31.108069414000056)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369661058999952 31.108009994000042)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369917752999925 31.107841241000074)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.368443852999917 31.109617374000038)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369259189999923 31.10739041000005)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.369078172999934 31.10761858300009)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.365220863999923 31.111018251000075)
2023-09-10,Ait Othmane,Damage,POINT (-8.362240129999918 31.111302368000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.362200253999958 31.111486795000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.361268151999923 31.110390204000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.361018926999918 31.110360297000057)
2023-09-10,Ait Othmane,Damage,POINT (-8.361083724999958 31.110445033000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.360899297999936 31.109986459000083)
2023-09-10,Ait Othmane,Damage,POINT (-8.360662533999914 31.109881784000038)
2023-09-10,Ait Othmane,Damage,POINT (-8.360276234999958 31.110599553000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.36138279499994 31.110357805000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.361452578999945 31.110253130000046)
2023-09-10,Ait Othmane,Damage,POINT (-8.361427655999933 31.11006371900004)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.361131077999914 31.11002384300008)
2023-09-10,Ait Othmane,Damage,POINT (-8.360827022999956 31.110158424000076)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.360757239999941 31.110058734000063)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.36066004199995 31.11025811400009)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.360752255999955 31.109734741000068)
2023-09-10,Ait Othmane,Damage,POINT (-8.359875591999923 31.11254501600007)
2023-09-10,Ait Othmane,Damage,POINT (-8.359104300999945 31.112216083000078)
2023-09-10,Ait Othmane,Damage,POINT (-8.359302794999905 31.112201905000063)
2023-09-10,Ait Othmane,Damage,POINT (-8.359257424999953 31.112278467000067)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.35929712299992 31.112366372000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.358953331999942 31.10785488500005)
2023-09-10,Ait Othmane,Damage,POINT (-8.358436112999925 31.10801640300008)
2023-09-10,Ait Othmane,Damage,POINT (-8.358519593999915 31.10812529100008)
2023-09-10,Ait Othmane,Damage,POINT (-8.358880739999961 31.10787121800007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.359171107999941 31.10802184700009)
2023-09-10,Ait Othmane,Damage,POINT (-8.359697400999949 31.10804543900008)
2023-09-10,Ait Othmane,Damage,POINT (-8.35952317999994 31.10804362500005)
2023-09-10,Ait Othmane,Damage,POINT (-8.35945784699993 31.107626220000043)
